countryname,countrycode,gdp1990,gdp1991,gdp1992,gdp1993,gdp1994,gdp1995,gdp1996,gdp1997,gdp1998,gdp1999,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017
Europe & Central Asia (IDA & IBRD countries),TEC,13374.6199138132,12568.9172182983,11258.7380441759,10608.0961693199,9577.92816054186,9469.66605959168,9490.848780231659,9757.76499766475,9651.69361514975,9906.63495845674,10662.8238797006,10996.9708871471,11557.6260244274,12307.0069772823,13260.4678745767,14122.6329495956,15231.3291863574,16389.1545353804,17092.114185697,16158.9195569587,16852.362379691,17780.2959521863,18276.2203567546,18800.989815642,19098.0228317466,19103.6483542022,19310.3113303891,19966.7697004581
European Union,EUU,24863.113436028,25066.1986959804,25222.7001294076,25117.0027929961,25769.2592348844,26440.2595170152,26943.139041771,27669.6642082189,28444.6854809791,29222.6470186888,30308.0376124154,30945.8219949058,31319.5545540048,31663.124791038,32393.4251589223,32986.2926553716,34018.4155905948,34990.2892148408,35101.7288990157,33494.2053312857,34135.1992805811,34760.8235578203,34551.5366541673,34547.9423690565,35075.1118599087,35815.0089349472,36467.3957475297,37330.9547396239
Fragile and conflict affected situations,FCS,2812.98280164053,2145.9137410613,2238.35301980873,2337.23659870098,2349.79512641588,2373.03157691719,2485.5363752267,2636.18310832702,2914.02789093559,3074.47150267592,3069.83944068516,3088.15766371446,2998.27759576211,2762.32334770335,3107.31049888168,3239.73706030954,3388.40627146483,3484.91026155301,3592.63949740829,3676.19047556569,3827.20738300934,3562.30568008755,3908.32420089704,3981.85388741309,3933.87814332605,3926.0337494616,4034.88300647473,4050.92078510011
Heavily indebted poor countries (HIPC),HPC,1506.87255677555,1473.8401670242,1420.42213426968,1391.9749421758,1354.39047008261,1380.04493117393,1414.27195070546,1434.52402944888,1444.37391837021,1450.75649909942,1451.52470442842,1473.99256155922,1481.36789782566,1504.69751210247,1544.38687503802,1594.10372289733,1646.76013566895,1708.59222972224,1763.32596648835,1790.31807155934,1845.50451034068,1879.26353878086,1933.16390337276,1991.25890383456,2045.5810837526,2088.68051283446,2126.50231650692,2180.76528478056
High income,HIC,28461.479727491,28740.3274327996,29234.4320053632,29434.3154871811,30198.7330764758,30803.1729641473,31541.7658644896,32449.4571916947,33129.5246624871,33976.1690026124,35150.8503195456,35401.1781850468,35678.3127870985,36308.7805793431,37355.293030914,38208.6607111066,39164.1790229706,39967.828805402,39875.8971290137,38280.5731287468,39286.9345223,39964.4513748442,40274.0679171683,40642.5966024935,41232.4779927951,41979.595189798,42456.8947535052,43162.4333969336
IBRD only,IBD,4934.69605644072,4890.48481415056,4862.91035250104,4928.91845334558,4983.62365785027,5109.15182375542,5301.77797709108,5488.71913999222,5529.60269444446,5670.97056589115,5922.87690759463,6067.90578729647,6265.53829535991,6558.28428312044,6989.85895248584,7403.09390838853,7917.55396857025,8509.816633054979,8888.832757149779,9025.407181541999,9598.946842532239,10072.4263567553,10487.0515644306,10911.4012837536,11303.7800724341,11669.2000312356,12114.6987411268,12622.0214628667
IDA & IBRD total,IBT,4367.23318960896,4322.93590683015,4293.52066702801,4333.99530098871,4365.64718088486,4463.60234306994,4619.28323686379,4763.95820664958,4792.85645342615,4901.10206749583,5099.35998596626,5213.56615285479,5373.22688658377,5605.64164582435,5953.7951936254,6286.45158258896,6695.2962504872,7163.43129706924,7458.13785014892,7565.2168978699,8011.66338844919,8372.60784448017,8687.389708149631,9017.42097955703,9320.025280498279,9591.215855026099,9914.738828911321,10291.8732545618
IDA blend,IDB,3114.46100356956,3099.03840017129,3126.13455908646,3042.35220141085,3002.5741215229,3003.81624339931,3063.58623617602,3050.51381551466,3058.5121157943,3057.4398405251,3104.72154934267,3146.29178103758,3289.75038659299,3378.40212371089,3559.76628108523,3714.25728533851,3852.57448071882,3984.9466258082,4049.54773066456,4162.38766247002,4285.68505189451,4381.91039668343,4471.65119696229,4615.70175501527,4764.10809179893,4844.65766412732,4849.05387848165,4901.06157835224
IDA only,IDX,1506.95369990304,1487.17614324052,1458.21490799043,1448.98495934598,1420.23726862293,1451.58245917768,1487.6748946274,1516.56162872422,1539.10970295155,1567.38984080071,1597.63315500819,1641.6307921816,1665.92742094035,1713.72774287896,1774.55762292545,1852.18547614968,1932.99556754348,2025.77034008221,2107.2858952758,2162.88396797908,2249.61787475741,2296.2968075166,2356.07416810719,2450.66003576557,2532.67858835521,2589.80053133168,2648.94765002877,2743.82953105572
IDA total,IDA,2062.59362212685,2044.40210790509,2035.69423906505,1998.8316820405,1965.65926501489,1984.93775778039,2028.25662430761,2041.09311824465,2057.57548077839,2074.26425337123,2109.35043997366,2150.92595531104,2216.04536457542,2276.56781861403,2377.88180189877,2480.6642398054,2580.01806518372,2685.19365617497,2759.79054458342,2834.81201693318,2933.94900891795,2995.79319112494,3065.83676231971,3177.17956053157,3281.97837561678,3347.12676661731,3386.94393726317,3465.94076732598
Late-demographic dividend,LTE,5153.19917298212,5104.15585518304,4997.15717070338,5096.09169473031,5192.59434745321,5390.98795771228,5581.52256106557,5802.86294271364,5863.28935831194,6077.1057761809,6456.10714153565,6736.02934921846,7085.02157103901,7527.44617907677,8081.4934957168,8639.281254881471,9375.61498163473,10252.6581179454,10884.8371430639,11141.41411354,11939.3308413479,12707.0396517841,13352.9705423141,13989.0131085623,14574.4141535374,15074.1679832772,15600.0026248879,16285.4458851429
Latin America & Caribbean,LCN,9884.76790293983,10075.0330564754,10186.4356678741,10408.4663076081,10716.8646042697,10654.0385318086,10872.2706240669,11271.4716945872,11376.8902932122,11227.5019148862,11472.2147826333,11390.8477789637,11260.3755389777,11319.671623663,11858.9485670066,12201.8390721663,12685.5440233358,13205.9543720005,13541.0512937543,13099.886418111,13713.4419866927,14164.6379245986,14400.1073422886,14640.5640197476,14660.850846027,14586.3796603016,14442.4609639754,14562.6159308519
Latin America & Caribbean (excluding high income),LAC,9644.931124677891,9764.220238324549,9781.8333915638,9935.78370912155,10211.2373407858,10154.9478601999,10323.9746092342,10651.9467201074,10705.6984596591,10589.2893803983,10866.3029866529,10820.9941987678,10803.0302677303,10772.5585347812,11238.2481930699,11508.4067514846,11931.6931173287,12384.5236731605,12700.3598618155,12328.6877077188,12864.5588461947,13261.817791541,13520.333366447,13741.9612430464,13809.5316807981,13682.3451303641,13561.6904265306,13663.5732263136
Latin America & the Caribbean (IDA & IBRD countries),TLA,9854.53616891059,10045.1568583087,10151.2438602112,10368.1222666707,10672.7443020992,10599.1421030158,10815.7925257386,11210.7722943937,11305.7516899629,11140.7331287264,11380.1863207847,11282.9185693397,11147.9887431983,11208.0350436772,11733.5795526896,12084.8470794578,12576.7429109645,13105.0491598117,13447.9120861431,13006.4332937881,13627.4133796425,14084.4294391832,14320.3849909026,14562.4600431319,14583.1999667522,14507.6103146386,14362.473439687,14485.4982537229
